primary_name,Address,city,Lunch Capacity,Dinner Capacity,pdr,Min Pdr Qty,BarAvailable,Valet Parking,Complimantary Drinks,Outlet Timings,Live Music,TV,Wheel Chair,Lift,Baby Chair,Landmark For Outlets
"Acropolis Mall, East Kolkata Township","4th floor Acropolis mall, Sector 1,1858/1 Rajdanga main road, East Kolkata Township, Kolkata West Bengal 700107",Kolkata,120,120,false,0,True,No,We serve 1 round of complimentary drinks in Lunch from Monday to Friday..,"Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm

 





Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm",False,False,False,True,True,Acropolis mall
"Ahluwalias Great Mall, DCM Rd","2nd floor,Ahluwalias Great Mall, DCM Road, Kota, Rajasthan - 324005",Kota,115,115,false,0,False,No valet parking ( Mall Parking chargable),No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,True,False,False,True,True,ALUWALIA THE GREAT MALL
"Alcazar Mall, Jubilee Hills","ALCAZAR MALL, 498, Rd Number 36, 4th Floor,Venkatagiri, Jubilee Hills, Hyderabad, Telangana 500033",Hyderabad,158,158,false,0,False,Mall Parking chargable,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,False,True,
"Amanora Mall, Hadapsar","Mundhwa - Kharadi Rd, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",Pune,180,180,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close by 04.30 pm and last entry is 03.30 pm.<br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm.,False,False,False,False,True,"East Block, Anmora Town Center"
"Ambience Mall, Sector 24","4TH FLOOR,GATE NO. 4  AMBIANCE MALL, AMBIANCE ISLAND, NH8, 

GURUGRAM HARYANA-122002",Gurugram,120,120,false,0,True,Mall Parking chargable,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.00 pm and close by 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,Smash gaming center
"Anna Salai, Kosapet","1st Floor, Door No 16/1, Officers Line, Next to Reliance Trends, Anna Salai, Kosapet, Vellore, Tamil Nadu 632001, India",Vellore,96,96,false,0,False,Only Parking Assistance,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,False,True,Anna salai opp harish food zone
"Atria Mall, Worli","Atria Mall, 4th Floor, Dr. Annie Besent Road, Worli, Lotus Colony, Worli, Mumbai, Maharashtra 400018",Mumbai,152,152,true,16,True,Self Free Parking,Only for Lunch from Wednesday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry 11.00 pm <br><br/>,False,False,True,True,True,"Dr. Annie Besent Road, Worli, Lotus Colony"
Attapur,"PILLER NO, 175 HH FORTUNA DR KHAYYAM NAGAR RAMBAGH COLONY ATTAPUR TELANGANA 500028

",Hyderabad,158,158,false,0,False,YES,Mon to Sat lunch only,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,True,False,False,True,True,Hppy home fortuna opp. Piller no 175
Banjara Hills,"ANR Center,6-3-249/5/1, First Floor, Rd Number 1, opposite City Central, Banjara Hills, Hyderabad, Telangana 500034",Hyderabad,160,160,false,0,True,Only Parking Assistance,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,False," Wipro Lake, Financial District, Gachibowli, "
Bhartiya Mall of Bengaluru,"Barbeque Nation, 1st Floor, Bhartiya Mall of Bengaluru, Bhartiya City, Thanisandra Main Rd., Kannuru, Bengaluru- 560064

",Bengaluru,142,142,false,0,False,NA,Lunch / Wednesday to Saturday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,Bhartiya Mall Thanisandra
"Block A, Rajouri Garden","A2/41,3rd Floor, Rajouri Garden New Delhi 110027",New Delhi,154,154,false,0,True,NO,Lunch : Monday to Friday / 1 Round / Soft drink or Mocktail,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False, Rajouri Garden
Bussy Street,"Naga Progress Avenue, No 120, Bussy Street, Pondicherry, 605001, India",Pondicherry,96,96,false,0,True,Road Side Self Parking,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,False,"indian overseas bank,chinna manikandan"
"Caculo Mall, Panaji","Barbeque Nation, Caculo Mall, 5th Floor, St. Inez, Near Vintage Hospital, Panaji, Goa - 403001",Goa,118,118,false,0,True,Only Parking Assistance,Only for Lunch from Wednesday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True," Caculo Mall,"
"Celebration Mall, Bhuwana","3rd Floor, NH-8, The Celebration Mall, Udaipur, Rajasthan 313004, India",Udaipur,100,100,false,0,True,"No valet parking ( ""Mall Parking - paid parking""  )",No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,True,Celebration mall YESor
Central Cinemas,"Ground Floor, Central Cinemas, Laxmindra Nagar, Udupi Main Road, Manipal, Karnataka 576104",Manipal,100,100,false,0,False,Mall Parking,No,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,MAK AMLL NEAR KANKANDY FATHER MULLER ROAD
"Centro Mall, MG Road"," LEPL, Centro Mall, 3rd Floor, 40-1-147, Opp.CPR Hotel Fortune, Murali Park, MG Road, Labbipet, Vijayawada, Andhra Pradesh 520010",Vijayawada,120,120,false,0,False,Mall Parking chargable,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,Opp Fortune murali park hotel 
